x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
100.0,250.0,0.24,1.4359718422906505e-06,7.9795962188789e-08,0.04037368842905098,3.6432916319236057e-11,0.13
100.0,300.0,0.24,1.4663227120174237e-06,8.140011604755653e-08,0.042061629633328934,3.716097267169699e-11,0.13
100.0,350.0,0.24,1.4839474184588358e-06,8.247123638082606e-08,0.043056623427420115,3.6623588247826086e-11,0.13
100.0,400.0,0.24,1.5129543616175631e-06,8.44546232091341e-08,0.0447177712103235,3.477439617053174e-11,0.13
100.0,450.0,0.24,1.5731640263120037e-06,8.85738527633629e-08,0.04825879706928782,3.1556985171713386e-11,0.13
100.0,500.0,0.24,1.6823151318265126e-06,9.590735270268358e-08,0.054993919283765735,2.708771563635029e-11,0.13
100.0,550.0,0.24,1.8606984057691733e-06,1.0761057231930985e-07,0.06685560274245728,2.178197582675521e-11,0.13
100.0,600.0,0.24,2.130811128855853e-06,1.2489362004774074e-07,0.08674790964932855,1.6301239575610443e-11,0.12
100.0,650.0,0.24,2.5075228677481645e-06,1.4848644452067514e-07,0.11808982452733707,1.1347621476233894e-11,0.12
100.0,700.0,0.23,2.983167580050547e-06,1.7781238885039756e-07,0.16294100869925177,7.456320625149184e-12,0.11
100.0,750.0,0.23,3.5197521738139866e-06,2.105571610138808e-07,0.2193270955667479,4.937488743283005e-12,0.11
100.0,800.0,0.23,4.058392010742995e-06,2.4323245049195783e-07,0.28048613691365853,4.028990654309351e-12,0.1
100.0,850.0,0.23,4.543717328792163e-06,2.72628601465005e-07,0.3380844197202202,5.244759207978868e-12,0.09
100.0,900.0,0.22,4.949574077839348e-06,2.973792888929681e-07,0.38714164821476427,9.892749789902322e-12,0.08
100.0,950.0,0.22,5.293917012996645e-06,3.189449584596299e-07,0.4288579677388329,2.0730448628165768e-11,0.08
100.0,1000.0,0.22,5.642796383817346e-06,3.4200643065739667e-07,0.47079299918516704,4.259480494701414e-11,0.07
100.0,1050.0,0.22,6.1089960924745215e-06,3.7452692953989926e-07,0.5256796211703254,8.251785310839705e-11,0.06
100.0,1100.0,0.22,6.839642496642164e-06,4.2696407881212214e-07,0.6073972017891576,1.4848062130218382e-10,0.05
100.0,1150.0,0.22,7.972250470007511e-06,5.091701242856892e-07,0.719236474235736,2.460489682769898e-10,0.04
100.0,1200.0,0.22,9.547615533616104e-06,6.242000365411578e-07,0.8382750769845514,3.73225986463764e-10,0.02
100.0,1250.0,0.22,1.1410032001848151e-05,7.611798642708099e-07,0.9258709148079524,5.158426883061358e-10,0.01
